NKE,Nike Inc.,5-Dec-14,99.26,99.5,98.83,99.33,1704122
NKE,Nike Inc.,4-Dec-14,98.5,99.39,98.06,99.05,2064114
NKE,Nike Inc.,3-Dec-14,98.16,98.6,97.52,98.5,1896350
NKE,Nike Inc.,2-Dec-14,98.06,98.72,97.69,98.04,2191963
NKE,Nike Inc.,1-Dec-14,98.66,99.39,97.66,97.69,2569551
XOM,Exxon Mobil Corporation,5-Dec-14,93.95,94.59,93.35,93.82,11831896
XOM,Exxon Mobil Corporation,4-Dec-14,94.13,94.61,93.07,94.37,13115285
XOM,Exxon Mobil Corporation,3-Dec-14,94.67,95.33,94,94.95,16220449
XOM,Exxon Mobil Corporation,2-Dec-14,92.32,94.67,92.01,94.19,20885295
XOM,Exxon Mobil Corporation,1-Dec-14,90.36,92.87,90.28,92.35,27584224
AAPL,Apple Inc.,5-Dec-14,115.99,116.08,114.64,115,38318895
AAPL,Apple Inc.,4-Dec-14,115.77,117.2,115.29,115.49,42155776
AAPL,Apple Inc.,3-Dec-14,115.75,116.35,115.11,115.93,43063440
AAPL,Apple Inc.,2-Dec-14,113.5,115.75,112.75,114.63,59348940
AAPL,Apple Inc.,1-Dec-14,118.81,119.25,111.27,115.07,83814037
FE,FirstEnergy Corp.,5-Dec-14,36.61,37.01,36.55,37,2533407
FE,FirstEnergy Corp.,4-Dec-14,36.98,37.17,36.74,36.95,2618095
FE,FirstEnergy Corp.,3-Dec-14,37.07,37.18,36.49,37.03,4535996
FE,FirstEnergy Corp.,2-Dec-14,36.98,37.21,36.78,37.08,1698153
FE,FirstEnergy Corp.,1-Dec-14,36.74,37.23,36.47,37.04,1971772
FB,Facebook Inc.,5-Dec-14,75.8,76.76,75.36,76.36,24306446
FB,Facebook Inc.,4-Dec-14,74.83,75.55,74.66,75.24,14390520
FB,Facebook Inc.,3-Dec-14,75.38,75.73,74.4,74.88,16689857
FB,Facebook Inc.,2-Dec-14,75.33,75.91,75.04,75.46,16773884
FB,Facebook Inc.,1-Dec-14,77.26,77.31,74.8,75.1,31789866
JPM,JPMorgan Chase,5-Dec-14,62.01,63.06,61.88,62.7,20071134
JPM,JPMorgan Chase,4-Dec-14,61.1,61.57,60.84,61.38,11542085
JPM,JPMorgan Chase,3-Dec-14,60.96,61.62,60.81,61.54,12115506
JPM,JPMorgan Chase,2-Dec-14,60.01,61.19,60,61.08,12546594
JPM,JPMorgan Chase,1-Dec-14,59.98,60.21,59.55,60,12771602
DAL,"Delta Air Lines, Inc.",5-Dec-14,46.86,47.63,46.78,47.28,15045092
DAL,"Delta Air Lines, Inc.",4-Dec-14,46.07,46.94,45.55,46.42,14773181
DAL,"Delta Air Lines, Inc.",3-Dec-14,45.14,45.5,43.9,44.75,11034839
DAL,"Delta Air Lines, Inc.",2-Dec-14,44.93,46.28,44.05,44.67,18329396
DAL,"Delta Air Lines, Inc.",1-Dec-14,46.55,46.73,44.85,45.62,14651952
HD,"The Home Depot, Inc.",5-Dec-14,98.77,99.68,98.66,99.64,4649088
HD,"The Home Depot, Inc.",4-Dec-14,98.15,99.11,97.78,98.95,5227444
HD,"The Home Depot, Inc.",3-Dec-14,98.1,98.74,98.04,98.59,4358974
HD,"The Home Depot, Inc.",2-Dec-14,98.62,99,97.99,98.16,4677714
HD,"The Home Depot, Inc.",1-Dec-14,99.49,99.61,98.31,98.88,4393689
WIN,Windstream Hldgs,5-Dec-14,9.65,9.76,9.61,9.7,5964540
WIN,Windstream Hldgs,4-Dec-14,9.8,9.81,9.55,9.71,6746508
WIN,Windstream Hldgs,3-Dec-14,10,10.03,9.81,9.83,5361432
WIN,Windstream Hldgs,2-Dec-14,10.04,10.11,10,10.02,3515310
WIN,Windstream Hldgs,1-Dec-14,10.05,10.11,9.99,10.04,4506905
GILD,"Gilead Sciences, Inc.",5-Dec-14,102.29,105.45,102.15,104.59,18127636
GILD,"Gilead Sciences, Inc.",4-Dec-14,100.77,102.03,99.86,101.82,12087965
GILD,"Gilead Sciences, Inc.",3-Dec-14,103.04,103.08,99.86,100.88,17620754
GILD,"Gilead Sciences, Inc.",2-Dec-14,101.17,102.78,101.02,102.19,15568198
GILD,"Gilead Sciences, Inc.",1-Dec-14,100,101.99,99.77,100.55,14516135
S&P,Standard and Poor,5-Dec-14,2072.78,2079.47,2070.81,2075.37,492974286
S&P,Standard and Poor,4-Dec-14,2073.64,2077.34,2062.34,2071.92,495739307
S&P,Standard and Poor,3-Dec-14,2067.45,2076.28,2066.65,2074.33,536333828
S&P,Standard and Poor,2-Dec-14,2053.77,2068.77,2053.77,2066.55,498400851
S&P,Standard and Poor,1-Dec-14,2065.78,2065.78,2049.57,2053.44,547609771
